Package name,Package version,Package name prefix,License type,Declared License,Package URL,License URL,Copyrights
jaxb-runtime,2.3.4,org.glassfish.jaxb,Eclipse Distribution License - v 1.0,EDL-1.0,https://mvnrepository.com/artifact/org.glassfish.jaxb/jaxb-runtime/2.3.4,-,HTTP Error 403: Forbidden
jboss-logging,3.4.1.Final,org.jboss.logging,Apache License version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.jboss.logging/jboss-logging/3.4.1.Final,-,HTTP Error 403: Forbidden
jquery,2.2.4,org.webjars,-,-,-,-,No copyrights
jquery-ui,1.11.4,org.webjars,-,-,-,-,No copyrights
json-path,2.4.0,com.jayway.jsonpath,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/com.jayway.jsonpath/json-path/2.4.0,-,HTTP Error 403: Forbidden
json-smart,2.3,net.minidev,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/net.minidev/json-smart/2.3,-,HTTP Error 403: Forbidden
jsonassert,1.5.0,org.skyscreamer,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.skyscreamer/jsonassert/1.5.0,-,HTTP Error 403: Forbidden
jul-to-slf4j,1.7.30,org.slf4j,MIT License,MIT,https://mvnrepository.com/artifact/org.slf4j/jul-to-slf4j/1.7.30,-,HTTP Error 403: Forbidden
junit-jupiter,5.7.1,org.junit.jupiter,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.jupiter/junit-jupiter/5.7.1,-,HTTP Error 403: Forbidden
junit-jupiter-api,5.7.1,org.junit.jupiter,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.jupiter/junit-jupiter-api/5.7.1,-,HTTP Error 403: Forbidden
junit-jupiter-engine,5.7.1,org.junit.jupiter,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.jupiter/junit-jupiter-engine/5.7.1,-,HTTP Error 403: Forbidden
junit-jupiter-params,5.7.1,org.junit.jupiter,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.jupiter/junit-jupiter-params/5.7.1,-,HTTP Error 403: Forbidden
junit-platform-commons,1.7.1,org.junit.platform,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.platform/junit-platform-commons/1.7.1,-,HTTP Error 403: Forbidden
junit-platform-engine,1.7.1,org.junit.platform,Eclipse Public License v2.0,EPL-1.0,https://mvnrepository.com/artifact/org.junit.platform/junit-platform-engine/1.7.1,-,HTTP Error 403: Forbidden
LatencyUtils,2.0.3,org.latencyutils,-,-,-,-,No copyrights
log4j-api,2.13.3,org.apache.logging.log4j,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-api/2.13.3,-,HTTP Error 403: Forbidden
log4j-to-slf4j,2.13.3,org.apache.logging.log4j,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.apache.logging.log4j/log4j-to-slf4j/2.13.3,-,HTTP Error 403: Forbidden
logback-classic,1.2.3,ch.qos.logback,None,-,https://mvnrepository.com/artifact/ch.qos.logback/logback-classic/1.2.3,-,HTTP Error 403: Forbidden
logback-core,1.2.3,ch.qos.logback,None,-,https://mvnrepository.com/artifact/ch.qos.logback/logback-core/1.2.3,-,HTTP Error 403: Forbidden
micrometer-core,1.6.6,io.micrometer,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/io.micrometer/micrometer-core/1.6.6,-,HTTP Error 403: Forbidden
mockito-core,3.6.28,org.mockito,The MIT License,MIT,https://mvnrepository.com/artifact/org.mockito/mockito-core/3.6.28,-,HTTP Error 403: Forbidden
mockito-junit-jupiter,3.6.28,org.mockito,The MIT License,MIT,https://mvnrepository.com/artifact/org.mockito/mockito-junit-jupiter/3.6.28,-,HTTP Error 403: Forbidden
mysql-connector-java,8.0.23,mysql,The GNU General Public License v2 with FOSS exception,The GNU General Public License v2 with FOSS exception,https://mvnrepository.com/artifact/mysql/mysql-connector-java/8.0.23,-,HTTP Error 403: Forbidden
objenesis,3.1,org.objenesis,-,-,-,-,No copyrights
opentest4j,1.2.0,org.opentest4j,-,-,-,-,No copyrights
slf4j-api,1.7.30,org.slf4j,MIT License,MIT,https://mvnrepository.com/artifact/org.slf4j/slf4j-api/1.7.30,-,HTTP Error 403: Forbidden
snakeyaml,1.27,org.yaml,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.yaml/snakeyaml/1.27,-,HTTP Error 403: Forbidden
spring-aop,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-aop/5.3.6,-,HTTP Error 403: Forbidden
spring-aspects,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-aspects/5.3.6,-,HTTP Error 403: Forbidden
spring-beans,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-beans/5.3.6,-,HTTP Error 403: Forbidden
spring-boot,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-actuator,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-actuator/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-actuator-autoconfigure,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-actuator-autoconfigure/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-autoconfigure,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-autoconfigure/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-devtools,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-devtools/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-actuator,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-actuator/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-aop,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-aop/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-cache,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-cache/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-data-jpa,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-data-jpa/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-jdbc,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-jdbc/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-json,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-json/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-logging,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-logging/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-test,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-test/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-thymeleaf,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-thymeleaf/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-tomcat,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-tomcat/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-validation,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-validation/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-starter-web,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-web/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-test,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-test/2.4.5,-,HTTP Error 403: Forbidden
spring-boot-test-autoconfigure,2.4.5,org.springframework.boot,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-test-autoconfigure/2.4.5,-,HTTP Error 403: Forbidden
spring-context,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-context/5.3.6,-,HTTP Error 403: Forbidden
spring-context-support,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-context-support/5.3.6,-,HTTP Error 403: Forbidden
spring-core,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-core/5.3.6,-,HTTP Error 403: Forbidden
spring-data-commons,2.4.8,org.springframework.data,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.data/spring-data-commons/2.4.8,-,HTTP Error 403: Forbidden
spring-data-jpa,2.4.8,org.springframework.data,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework.data/spring-data-jpa/2.4.8,-,HTTP Error 403: Forbidden
spring-expression,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-expression/5.3.6,-,HTTP Error 403: Forbidden
spring-jcl,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-jcl/5.3.6,-,HTTP Error 403: Forbidden
spring-jdbc,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-jdbc/5.3.6,-,HTTP Error 403: Forbidden
spring-orm,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-orm/5.3.6,-,HTTP Error 403: Forbidden
spring-test,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-test/5.3.6,-,HTTP Error 403: Forbidden
spring-tx,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-tx/5.3.6,-,HTTP Error 403: Forbidden
spring-web,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-web/5.3.6,-,HTTP Error 403: Forbidden
spring-webmvc,5.3.6,org.springframework,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.springframework/spring-webmvc/5.3.6,-,HTTP Error 403: Forbidden
thymeleaf,3.0.12.RELEASE,org.thymeleaf,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.thymeleaf/thymeleaf/3.0.12.RELEASE,-,HTTP Error 403: Forbidden
thymeleaf-extras-java8time,3.0.4.RELEASE,org.thymeleaf.extras,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.thymeleaf.extras/thymeleaf-extras-java8time/3.0.4.RELEASE,-,HTTP Error 403: Forbidden
thymeleaf-spring5,3.0.12.RELEASE,org.thymeleaf,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.thymeleaf/thymeleaf-spring5/3.0.12.RELEASE,-,HTTP Error 403: Forbidden
tomcat-embed-core,9.0.45,org.apache.tomcat.embed,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core/9.0.45,-,HTTP Error 403: Forbidden
tomcat-embed-websocket,9.0.45,org.apache.tomcat.embed,Apache License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.45,-,HTTP Error 403: Forbidden
txw2,2.3.4,org.glassfish.jaxb,Eclipse Distribution License - v 1.0,EDL-1.0,https://mvnrepository.com/artifact/org.glassfish.jaxb/txw2/2.3.4,-,HTTP Error 403: Forbidden
unbescape,1.1.6.RELEASE,org.unbescape,-,-,-,-,No copyrights
webjars-locator-core,0.46,org.webjars,MIT,MIT,https://mvnrepository.com/artifact/org.webjars/webjars-locator-core/0.46,-,HTTP Error 403: Forbidden
xmlunit-core,2.7.0,org.xmlunit,The Apache Software License Version 2.0,Apache-2.0,https://mvnrepository.com/artifact/org.xmlunit/xmlunit-core/2.7.0,-,HTTP Error 403: Forbidden
